,player_name,time,longitude,latitude,ressource_id,ressource_type,Game_ID
216,Enduring Beaver,2023-05-20 11:13:00-05:00,-74.477093,46.043863,96,Type A,2
217,Curious Penguin,2023-05-20 11:13:00-05:00,-74.477588,46.045795,1,Type A,2
218,Graceful Raccoon,2023-05-20 11:13:00-05:00,-74.478421,46.044292,12,Type A,2
219,Gentle Bear,2023-05-20 11:13:01-05:00,-74.478128,46.043783,107,Type A,2
220,Resourceful Platypus,2023-05-20 11:13:05-05:00,-74.479086,46.046022,25,Type A,2
221,Brave Cheetah,2023-05-20 11:13:13-05:00,-74.477193,46.042938,104,Type A,2
222,Brave Cheetah,2023-05-20 11:13:18-05:00,-74.477259,46.043341,98,Type A,2
223,Resourceful Platypus,2023-05-20 11:13:21-05:00,-74.479086,46.046022,25,Type A,2
224,Majestic Kangaroo,2023-05-20 11:13:32-05:00,-74.478131,46.043354,91,Type B,2
225,Graceful Raccoon,2023-05-20 11:13:32-05:00,-74.478421,46.044292,12,Type A,2
226,Wandering Antelope,2023-05-20 11:13:32-05:00,-74.478074,46.042402,114,Type A,2
227,Swift Elephant,2023-05-20 11:13:35-05:00,-74.478197,46.045045,9,Type A,2
228,Curious Penguin,2023-05-20 11:13:37-05:00,-74.477524,46.045809,1,Type A,2
229,Wandering Antelope,2023-05-20 11:13:43-05:00,-74.478074,46.042402,113,Type A,2
230,Swift Elephant,2023-05-20 11:13:45-05:00,-74.478164,46.045113,9,Type A,2
231,Agile Hippopotamus,2023-05-20 11:13:47-05:00,-74.477854,46.045078,8,Type B,2
232,Resourceful Platypus,2023-05-20 11:13:53-05:00,-74.479086,46.046022,25,Type A,2
233,Majestic Kangaroo,2023-05-20 11:13:53-05:00,-74.478131,46.043354,91,Type B,2
234,Vigilant Puma,2023-05-20 11:13:54-05:00,-74.479536,46.044253,19,Type A,2
235,Enduring Beaver,2023-05-20 11:13:58-05:00,-74.477093,46.043863,96,Type B,2
236,Wandering Antelope,2023-05-20 11:13:58-05:00,-74.478074,46.042402,113,Type A,2
237,Silent Squirrel,2023-05-20 11:14:02-05:00,-74.47773,46.046086,28,Type A,2
238,Swift Elephant,2023-05-20 11:14:10-05:00,-74.478164,46.045113,9,Type A,2
239,Majestic Kangaroo,2023-05-20 11:14:10-05:00,-74.478131,46.043354,91,Type A,2
240,Brave Cheetah,2023-05-20 11:14:14-05:00,-74.477511,46.043628,98,Type A,2
241,Bold Owl,2023-05-20 11:14:28-05:00,-74.477325,46.04295,104,Type A,2
242,Tenacious Mongoose,2023-05-20 11:14:29-05:00,-74.479615,46.044289,19,Type A,2
243,Enduring Beaver,2023-05-20 11:14:30-05:00,-74.477093,46.043863,96,Type B,2
244,Energetic Badger,2023-05-20 11:14:34-05:00,-74.478988,46.043848,16,Type A,2
245,Fearless Chameleon,2023-05-20 11:14:38-05:00,-74.477121,46.043397,101,Type A,2
246,Resourceful Platypus,2023-05-20 11:14:39-05:00,-74.479024,46.046009,25,Type B,2
247,Vigilant Puma,2023-05-20 11:14:42-05:00,-74.479598,46.044265,19,Type A,2
248,Enduring Beaver,2023-05-20 11:14:43-05:00,-74.477093,46.043863,96,Type A,2
249,Agile Hippopotamus,2023-05-20 11:14:46-05:00,-74.477787,46.045049,8,Type B,2
250,Brave Cheetah,2023-05-20 11:14:47-05:00,-74.477511,46.043628,98,Type A,2
251,Enduring Beaver,2023-05-20 11:15:12-05:00,-74.477093,46.043863,96,Type B,2
252,Resourceful Platypus,2023-05-20 11:15:12-05:00,-74.479024,46.046009,25,Type B,2
253,Silent Squirrel,2023-05-20 11:15:12-05:00,-74.47773,46.046086,28,Type A,2
254,Elusive Fox,2023-05-20 11:15:15-05:00,-74.47845,46.046157,26,Type A,2
255,Agile Hippopotamus,2023-05-20 11:15:24-05:00,-74.477787,46.045049,8,Type B,2
256,Resourceful Platypus,2023-05-20 11:15:25-05:00,-74.479024,46.046009,25,Type A,2
257,Independent Weasel,2023-05-20 11:15:25-05:00,-74.478883,46.042685,75,Type A,2
258,Noble Zebra,2023-05-20 11:15:31-05:00,-74.477064,46.045523,29,Type A,2
259,Tenacious Mongoose,2023-05-20 11:15:33-05:00,-74.479615,46.044289,19,Type B,2
260,Silent Squirrel,2023-05-20 11:15:35-05:00,-74.47773,46.046086,28,Type B,2
261,Fearless Chameleon,2023-05-20 11:15:46-05:00,-74.477065,46.043432,101,Type B,2
262,Bold Owl,2023-05-20 11:15:55-05:00,-74.477223,46.043021,104,Type A,2
263,Independent Weasel,2023-05-20 11:16:02-05:00,-74.478817,46.042691,75,Type A,2
264,Tenacious Mongoose,2023-05-20 11:16:02-05:00,-74.479615,46.044289,19,Type B,2
265,Enduring Beaver,2023-05-20 11:16:02-05:00,-74.477017,46.04392,96,Type B,2
266,Resourceful Platypus,2023-05-20 11:16:11-05:00,-74.47897,46.046016,25,Type B,2
267,Fearless Chameleon,2023-05-20 11:16:12-05:00,-74.477065,46.043432,101,Type A,2
268,Wild Tiger,2023-05-20 11:16:14-05:00,-74.478756,46.043016,78,Type A,2
269,Silent Squirrel,2023-05-20 11:16:16-05:00,-74.47773,46.046086,28,Type B,2
270,Majestic Kangaroo,2023-05-20 11:16:26-05:00,-74.477993,46.043474,108,Type B,2
271,Independent Weasel,2023-05-20 11:16:28-05:00,-74.478817,46.042691,75,Type B,2
272,Silent Squirrel,2023-05-20 11:16:33-05:00,-74.47773,46.046086,28,Type B,2
273,Tenacious Mongoose,2023-05-20 11:16:33-05:00,-74.479615,46.044289,19,Type A,2
274,Resourceful Platypus,2023-05-20 11:16:37-05:00,-74.478942,46.046052,25,Type B,2
275,Majestic Kangaroo,2023-05-20 11:16:48-05:00,-74.477993,46.043474,108,Type A,2
276,Noble Zebra,2023-05-20 11:16:48-05:00,-74.47706,46.045533,29,Type A,2
277,Wild Tiger,2023-05-20 11:16:49-05:00,-74.478756,46.043016,78,Type A,2
278,Resourceful Platypus,2023-05-20 11:16:49-05:00,-74.478942,46.046052,25,Type A,2
279,Independent Weasel,2023-05-20 11:16:50-05:00,-74.478817,46.042691,75,Type A,2
280,Silent Squirrel,2023-05-20 11:16:56-05:00,-74.47773,46.046086,28,Type A,2
281,Resourceful Platypus,2023-05-20 11:17:01-05:00,-74.478942,46.046052,25,Type B,2
282,Vigilant Puma,2023-05-20 11:17:07-05:00,-74.479248,46.044343,20,Type A,2
283,Noble Zebra,2023-05-20 11:17:07-05:00,-74.47706,46.045533,29,Type A,2
284,Bold Owl,2023-05-20 11:17:08-05:00,-74.47722,46.04304,104,Type A,2
285,Brave Cheetah,2023-05-20 11:17:11-05:00,-74.477511,46.043628,98,Type A,2
286,Independent Weasel,2023-05-20 11:17:16-05:00,-74.478796,46.0427,75,Type A,2
287,Silent Squirrel,2023-05-20 11:17:27-05:00,-74.47773,46.046086,28,Type A,2
288,Independent Weasel,2023-05-20 11:17:34-05:00,-74.478796,46.0427,75,Type B,2
289,Resourceful Platypus,2023-05-20 11:17:34-05:00,-74.478942,46.046052,25,Type B,2
290,Tenacious Mongoose,2023-05-20 11:17:45-05:00,-74.47958,46.044256,19,Type A,2
291,Wild Tiger,2023-05-20 11:17:53-05:00,-74.47871,46.042976,78,Type A,2
